Posicion,Pelicula,Ingreso Bruto,Ingreso Total,Fecha de estreno,Distribuidora,Mes actual
48,Hidden Blade,161179,161179,Feb 17,Well Go USA Entertainment,march
49,Tár,159085,159085,Oct 7,Focus Features,march
50,The Banshees of Inisherin,147159,147159,Oct 21,Searchlight Pictures,march
51,The Magic Flute,141143,141143,Mar 10,Shout! Studios,march
52,UFC 286,132634,132634,Mar 18,-,march
53,¡Que viva México!,120602,120602,Mar 24,Sony Pictures Entertainment (SPE),march
54,Triangle of Sadness,99610,99610,Oct 7,Neon,march
55,Selfiee,97665,97665,Feb 24,-,march
56,"Crouching Tiger, Hidden Dragon",94091,94091,Feb 17,Sony Pictures Classics,march
57,Malum,90405,90405,Mar 31,-,march
58,Path of the Panther,73539,73539,Feb 24,-,march
59,The Wandering Earth II,63838,63838,Jan 22,Well Go USA Entertainment,march
60,Violent Night,63160,63160,Dec 2,Universal Pictures,march
61,One Fine Morning,57207,57207,Jan 27,Sony Pictures Entertainment (SPE),march
62,iMordecai,55289,55289,Feb 10,Greenwich Entertainment,march
63,Linoleum,53889,53889,Feb 24,Shout! Studios,march
64,Turn Every Page: The Adventures of Robert Caro and Robert Gottlieb,53625,53625,Dec 30,Sony Pictures Entertainment (SPE),march
65,Aftersun,49542,49542,Oct 21,A24,march
66,The Conformist,44934,44934,Jan 6,Kino Lorber,march
67,EO,41729,41729,Nov 18,Sideshow Releasing,march
68,Juniper,41426,41426,Feb 24,Greenwich Entertainment,march
69,Black Panther: Wakanda Forever,31368,31368,Nov 11,Walt Disney Studios Motion Pictures,march
70,Bunker,30194,30194,Feb 24,Blue Fox Entertainment,march
71,Enys Men,30006,30006,Mar 31,-,march
72,The Trial,24859,24859,Dec 9,Rialto Pictures,march
73,The Innocent,22262,22262,Mar 17,Janus Films,march
74,My Happy Ending,21899,21899,Feb 24,Roadside Attractions,march
75,Guitar Lessons,21808,21808,Sep 23,-,march
76,Unwelcome,21284,21284,Mar 10,Well Go USA Entertainment,march
77,Nam June Paik: Moon Is the Oldest TV,21132,21132,Mar 24,Greenwich Entertainment,march
78,Godland,19826,19826,Feb 3,Janus Films,march
79,Tori and Lokita,19741,19741,Mar 24,Janus Films,march
80,The Forger,17193,17193,Mar 3,Kino Lorber,march
81,All the Beauty and the Bloodshed,16932,16932,Nov 23,-,march
82,Summoning Sylvia,16851,16851,Mar 31,-,march
83,Plane,16148,16148,Jan 13,Lionsgate,march
84,Of an Age,15385,15385,Feb 17,Focus Features,march
85,Chocolat,14720,14720,Feb 24,Janus Films,march
86,Rodeo,14664,14664,Mar 17,Music Box Films,march
87,A Difficult Life,13871,13871,Feb 3,Rialto Pictures,march
88,Drylongso,13831,13831,Mar 17,Janus Films,march
89,"What the Hell Happened to Blood, Sweat & Tears?",12504,12504,Mar 24,Abramorama,march
90,Cinema Sabaya,11192,11192,Feb 10,Kino Lorber,march
91,No Bears,10775,10775,Dec 23,Janus Films,march
92,Full Time,10178,10178,Feb 3,Music Box Films,march
93,MindReader,9348,9348,Oct 24,Five & Two Pictures,march
94,The Civil Dead,9060,9060,Feb 10,Utopia,march
95,Give Me Pity!,8572,8572,Mar 3,Utopia,march
96,The Five Devils,8150,8150,Mar 24,MUBI,march
97,I Got a Monster,7971,7971,Mar 10,Greenwich Entertainment,march
98,Gods of Mexico,7031,7031,Mar 3,Oscilloscope,march
99,La civil,6884,6884,Mar 3,-,march
100,The Man in the Basement,6122,6122,Jan 27,Greenwich Entertainment,march
101,Smoking Causes Coughing,5866,5866,Mar 31,Magnolia Pictures,march
102,Only in Theaters,5809,5809,Nov 18,-,march
103,Whitney Houston: I Wanna Dance with Somebody,5780,5780,Dec 23,TriStar Pictures,march
104,Therapy Dogs,5393,5393,Mar 10,Utopia,march
105,Making Him Famous,4967,4967,Mar 17,Atlas Distribution Company,march
106,The Sorrow and the Pity,4623,4623,Feb 24,Kino Lorber,march
107,The Innocents,4348,4348,May 13,IFC Films,march
108,Filmmakers for the Prosecution,4172,4172,Jan 27,Kino Lorber,march
109,God's Time,3892,3892,Feb 24,IFC Films,march
110,Rimini,3774,3774,Mar 15,Big World Pictures,march
111,Skinamarink,3674,3674,Jan 13,IFC Films,march
112,The Runner,3235,3235,Oct 28,Rialto Pictures,march
113,The Headmistress,3075,3075,Jan 13,Indican Pictures,march
114,In Viaggio: The Travels of Pope Francis,2621,2621,Mar 31,Magnolia Pictures,march
115,The Worst Ones,2615,2615,Mar 24,Kino Lorber,march
116,Consecration,2512,2512,Feb 10,IFC Films,march
117,Cat Daddies,2453,2453,Oct 14,Sky Island Films,march
118,Film: The Living Record of Our Memory,2440,2440,Feb 24,Kino Lorber,march
119,Brotherhood of the Wolf,2061,2061,Jan 20,Rialto Pictures,march
120,Framing Agnes,1735,1735,Dec 2,Kino Lorber,march
121,Utama,1550,1550,Nov 4,Kino Lorber,march
122,Boblo Boats: A Detroit Ferry Tale,913,913,Sep 16,Lucky Hat Entertainment,march
123,Brainwashed: Sex-Camera-Power,890,890,Oct 21,Kino Lorber,march
124,The Super 8 Years,858,858,Dec 16,Kino Lorber,march
125,Leonor Will Never Die,737,737,Nov 25,Music Box Films,march
126,Eight Deadly Shots,539,539,Mar 31,Janus Films,march
127,Corsage,300,300,Dec 23,IFC Films,march
128,Imagining the Indian,197,197,Mar 31,Ciesla Foundation,march
129,Holy Spider,185,185,Oct 28,Utopia,march
130,Venus,136,136,Mar 31,Sony Pictures Entertainment (SPE),march
131,Please Baby Please,128,128,Oct 28,Music Box Films,march
